"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|DE-LU"
"01.01.2022 20:00 - 01.01.2022 20:15","692.19","EUR"
"01.01.2022 20:15 - 01.01.2022 20:30","70.84","EUR"
"01.01.2022 20:30 - 01.01.2022 20:45","-149.99","EUR"
"01.01.2022 20:45 - 01.01.2022 21:00","-144.93","EUR"
"01.01.2022 21:00 - 01.01.2022 21:15","115.10","EUR"
"01.01.2022 21:15 - 01.01.2022 21:30","172.86","EUR"
"01.01.2022 21:30 - 01.01.2022 21:45","67.18","EUR"
"01.01.2022 21:45 - 01.01.2022 22:00","7.29","EUR"
"01.01.2022 22:00 - 01.01.2022 22:15","360.84","EUR"
"01.01.2022 22:15 - 01.01.2022 22:30","63.96","EUR"
"01.01.2022 22:30 - 01.01.2022 22:45","-36.13","EUR"
"01.01.2022 22:45 - 01.01.2022 23:00","-18.94","EUR"
"01.01.2022 23:00 - 01.01.2022 23:15","488.32","EUR"
"01.01.2022 23:15 - 01.01.2022 23:30","60.36","EUR"
"01.01.2022 23:30 - 01.01.2022 23:45","-108.20","EUR"
"01.01.2022 23:45 - 02.01.2022 00:00","-144.98","EUR"
"02.01.2022 00:00 - 02.01.2022 00:15","164.36","EUR"
"02.01.2022 00:15 - 02.01.2022 00:30","117.55","EUR"
"02.01.2022 00:30 - 02.01.2022 00:45","-110.82","EUR"
"02.01.2022 00:45 - 02.01.2022 01:00","44.91","EUR"
"02.01.2022 01:00 - 02.01.2022 01:15","100.90","EUR"
"02.01.2022 01:15 - 02.01.2022 01:30","110.66","EUR"
"02.01.2022 01:30 - 02.01.2022 01:45","-65.83","EUR"
"02.01.2022 01:45 - 02.01.2022 02:00","18.27","EUR"
"02.01.2022 02:00 - 02.01.2022 02:15","128.12","EUR"
"02.01.2022 02:15 - 02.01.2022 02:30","111.21","EUR"
"02.01.2022 02:30 - 02.01.2022 02:45","-99.96","EUR"
"02.01.2022 02:45 - 02.01.2022 03:00","47.43","EUR"
"02.01.2022 03:00 - 02.01.2022 03:15","85.31","EUR"
"02.01.2022 03:15 - 02.01.2022 03:30","37.95","EUR"
"02.01.2022 03:30 - 02.01.2022 03:45","-20.15","EUR"
"02.01.2022 03:45 - 02.01.2022 04:00","33.33","EUR"
"02.01.2022 04:00 - 02.01.2022 04:15","11.98","EUR"
"02.01.2022 04:15 - 02.01.2022 04:30","0.13","EUR"
"02.01.2022 04:30 - 02.01.2022 04:45","54.91","EUR"
"02.01.2022 04:45 - 02.01.2022 05:00","37.40","EUR"
"02.01.2022 05:00 - 02.01.2022 05:15","62.65","EUR"
"02.01.2022 05:15 - 02.01.2022 05:30","64.97","EUR"
"02.01.2022 05:30 - 02.01.2022 05:45","47.54","EUR"
"02.01.2022 05:45 - 02.01.2022 06:00","-93.63","EUR"
"02.01.2022 06:00 - 02.01.2022 06:15","38.87","EUR"
"02.01.2022 06:15 - 02.01.2022 06:30","56.27","EUR"
"02.01.2022 06:30 - 02.01.2022 06:45","12.29","EUR"
"02.01.2022 06:45 - 02.01.2022 07:00","35.01","EUR"
"02.01.2022 07:00 - 02.01.2022 07:15","-1.29","EUR"
"02.01.2022 07:15 - 02.01.2022 07:30","40.17","EUR"
"02.01.2022 07:30 - 02.01.2022 07:45","47.39","EUR"
"02.01.2022 07:45 - 02.01.2022 08:00","93.82","EUR"
"02.01.2022 08:00 - 02.01.2022 08:15","-99.91","EUR"
"02.01.2022 08:15 - 02.01.2022 08:30","64.17","EUR"
"02.01.2022 08:30 - 02.01.2022 08:45","117.06","EUR"
"02.01.2022 08:45 - 02.01.2022 09:00","156.25","EUR"
"02.01.2022 09:00 - 02.01.2022 09:15","-65.59","EUR"
"02.01.2022 09:15 - 02.01.2022 09:30","-61.59","EUR"
"02.01.2022 09:30 - 02.01.2022 09:45","162.18","EUR"
"02.01.2022 09:45 - 02.01.2022 10:00","178.38","EUR"
"02.01.2022 10:00 - 02.01.2022 10:15","66.27","EUR"
"02.01.2022 10:15 - 02.01.2022 10:30","57.16","EUR"
"02.01.2022 10:30 - 02.01.2022 10:45","13.27","EUR"
"02.01.2022 10:45 - 02.01.2022 11:00","123.31","EUR"
"02.01.2022 11:00 - 02.01.2022 11:15","27.79","EUR"
"02.01.2022 11:15 - 02.01.2022 11:30","77.25","EUR"
"02.01.2022 11:30 - 02.01.2022 11:45","138.11","EUR"
"02.01.2022 11:45 - 02.01.2022 12:00","117.35","EUR"
"02.01.2022 12:00 - 02.01.2022 12:15","134.92","EUR"
"02.01.2022 12:15 - 02.01.2022 12:30","109.48","EUR"
"02.01.2022 12:30 - 02.01.2022 12:45","121.61","EUR"
"02.01.2022 12:45 - 02.01.2022 13:00","-50.00","EUR"
"02.01.2022 13:00 - 02.01.2022 13:15","429.10","EUR"
"02.01.2022 13:15 - 02.01.2022 13:30","124.71","EUR"
"02.01.2022 13:30 - 02.01.2022 13:45","-99.99","EUR"
"02.01.2022 13:45 - 02.01.2022 14:00","-99.94","EUR"
"02.01.2022 14:00 - 02.01.2022 14:15","131.71","EUR"
"02.01.2022 14:15 - 02.01.2022 14:30","138.53","EUR"
"02.01.2022 14:30 - 02.01.2022 14:45","89.13","EUR"
"02.01.2022 14:45 - 02.01.2022 15:00","-80.18","EUR"
"02.01.2022 15:00 - 02.01.2022 15:15","55.84","EUR"
"02.01.2022 15:15 - 02.01.2022 15:30","83.46","EUR"
"02.01.2022 15:30 - 02.01.2022 15:45","96.18","EUR"
"02.01.2022 15:45 - 02.01.2022 16:00","100.19","EUR"
"02.01.2022 16:00 - 02.01.2022 16:15","48.41","EUR"
"02.01.2022 16:15 - 02.01.2022 16:30","-144.94","EUR"
"02.01.2022 16:30 - 02.01.2022 16:45","120.66","EUR"
"02.01.2022 16:45 - 02.01.2022 17:00","344.94","EUR"
"02.01.2022 17:00 - 02.01.2022 17:15","-144.95","EUR"
"02.01.2022 17:15 - 02.01.2022 17:30","-149.99","EUR"
"02.01.2022 17:30 - 02.01.2022 17:45","50.23","EUR"
"02.01.2022 17:45 - 02.01.2022 18:00","702.80","EUR"
"02.01.2022 18:00 - 02.01.2022 18:15","121.33","EUR"
"02.01.2022 18:15 - 02.01.2022 18:30","49.57","EUR"
"02.01.2022 18:30 - 02.01.2022 18:45","160.70","EUR"
"02.01.2022 18:45 - 02.01.2022 19:00","74.80","EUR"
"02.01.2022 19:00 - 02.01.2022 19:15","152.32","EUR"
"02.01.2022 19:15 - 02.01.2022 19:30","152.32","EUR"
"02.01.2022 19:30 - 02.01.2022 19:45","-63.40","EUR"
"02.01.2022 19:45 - 02.01.2022 20:00","74.75","EUR"
"02.01.2022 20:00 - 02.01.2022 20:15","595.00","EUR"
"02.01.2022 20:15 - 02.01.2022 20:30","114.56","EUR"
"02.01.2022 20:30 - 02.01.2022 20:45","-149.99","EUR"
"02.01.2022 20:45 - 02.01.2022 21:00","-149.99","EUR"
"02.01.2022 21:00 - 02.01.2022 21:15","156.61","EUR"
"02.01.2022 21:15 - 02.01.2022 21:30","112.94","EUR"
"02.01.2022 21:30 - 02.01.2022 21:45","65.71","EUR"
"02.01.2022 21:45 - 02.01.2022 22:00","7.75","EUR"
"02.01.2022 22:00 - 02.01.2022 22:15","184.92","EUR"
"02.01.2022 22:15 - 02.01.2022 22:30","163.97","EUR"
"02.01.2022 22:30 - 02.01.2022 22:45","-50.00","EUR"
"02.01.2022 22:45 - 02.01.2022 23:00","43.16","EUR"
"02.01.2022 23:00 - 02.01.2022 23:15","260.69","EUR"
"02.01.2022 23:15 - 02.01.2022 23:30","303.22","EUR"
"02.01.2022 23:30 - 02.01.2022 23:45","-99.90","EUR"
